"C","Accuracy"
1e-05,0.435548262886147
1e-04,0.435548262886147
0.001,0.435548262886147
0.01,0.536967416353082
0.1,0.560704471864881
1,0.558313059712377
10,0.558483416469765
100,0.559336367083807
1000,0.559850937837286
10000,0.564629678247426
1e+05,0.480441352352615
1e+06,0.421030308334063
